username,social_media_usage,online_shopping
User_939,9,8
User_940,2,5
User_941,3,4
User_942,15,10
User_943,10,6
User_944,9,9
User_945,1,7
User_946,4,0
User_947,4,4
User_948,0,4
User_949,8,10
User_950,15,6
User_951,6,4
User_952,9,8
User_953,1,1
User_954,8,1
User_955,0,1
User_956,8,8
User_957,13,2
User_958,14,6
User_959,15,7
User_960,4,1
User_961,3,8
User_962,0,6
User_963,4,8
User_964,12,1
User_965,2,3
User_966,5,10
User_967,0,3
User_968,12,1
User_969,12,5
User_970,8,2
User_971,14,1
User_972,8,6
User_973,1,2
User_974,14,5
User_975,4,10
User_976,13,5
User_977,1,4
User_978,8,9
User_979,4,7
User_980,10,3
User_981,7,5
User_982,3,4
User_983,2,1
User_984,13,6
User_985,1,7
User_986,12,5
User_987,8,7
User_988,10,0
User_989,4,5
User_990,1,10
User_991,11,3
User_992,8,4
User_993,6,5
User_994,4,5
User_995,7,10
User_996,12,2
User_997,15,6
User_998,14,1
User_999,8,2
User_1000,5,1
User_1001,6,4
User_1002,4,8
User_1003,7,7
User_1004,5,2
User_1005,4,5
User_1006,14,0
User_1007,14,5
User_1008,6,10
User_1009,11,4
User_1010,9,5
User_1011,4,9
User_1012,12,1
User_1013,8,10
User_1014,1,6
User_1015,14,2
User_1016,13,5
User_1017,1,6
User_1018,12,5
User_1019,9,7
User_1020,12,5
User_1021,14,8
User_1022,3,0
User_1023,1,7
User_1024,3,10
User_1025,0,1
User_1026,6,2
User_1027,14,0
User_1028,5,0
User_1029,2,10
User_1030,15,5
User_1031,2,10
User_1032,13,5
User_1033,13,10
User_1034,4,9
User_1035,2,0
User_1036,3,9
User_1037,1,7
User_1038,5,7
User_1039,4,4
User_1040,9,1
User_1041,4,0
User_1042,6,7
User_1043,12,1
User_1044,2,0
User_1045,8,10
User_1046,12,7
User_1047,15,9
User_1048,4,2
User_1049,5,7
User_1050,10,2
User_1051,2,8
User_1052,14,0
User_1053,14,8
User_1054,2,0
User_1055,5,7
User_1056,3,10
User_1057,4,10
User_1058,2,1
User_1059,2,9
User_1060,8,1
User_1061,0,6
User_1062,13,2
User_1063,13,9
User_1064,6,5
User_1065,14,9
User_1066,13,5
User_1067,5,8
User_1068,11,9
User_1069,8,1
User_1070,6,0
User_1071,7,1
User_1072,0,3
User_1073,12,6
User_1074,6,4
User_1075,12,1
User_1076,5,5
User_1077,14,8
User_1078,7,9
User_1079,7,10
User_1080,1,4
User_1081,1,8
User_1082,4,8
User_1083,0,2
User_1084,4,7
User_1085,6,7
User_1086,0,8
User_1087,3,6
User_1088,15,1
User_1089,13,9
User_1090,9,10
User_1091,5,5
User_1092,14,4
User_1093,1,4
User_1094,12,5
User_1095,0,5
User_1096,7,2
User_1097,7,3
User_1098,9,0
User_1099,3,2
User_1100,0,5
User_1101,5,4
User_1102,10,1
User_1103,15,7
User_1104,1,4
User_1105,6,7
User_1106,8,4
User_1107,10,4
User_1108,2,9
User_1109,2,8
User_1110,0,3
User_1111,1,10
User_1112,3,7
User_1113,3,9
User_1114,4,10
User_1115,14,10
User_1116,14,0
User_1117,6,4
User_1118,6,10
User_1119,1,1
User_1120,10,5
User_1121,3,8
User_1122,6,8
User_1123,6,3
User_1124,12,6
User_1125,12,5
User_1126,6,0
User_1127,7,3
User_1128,3,10
User_1129,13,10
User_1130,3,6
User_1131,15,2
User_1132,10,10
User_1133,9,0
User_1134,14,6
User_1135,15,2
User_1136,0,6
User_1137,13,9
User_1138,13,4
User_1139,1,7
User_1140,2,10
User_1141,0,6
User_1142,1,8
User_1143,4,10
User_1144,0,8
User_1145,12,5
User_1146,3,2
User_1147,1,7
User_1148,3,3
User_1149,1,0
User_1150,13,2
User_1151,2,10
User_1152,1,0
User_1153,5,10
User_1154,10,8
User_1155,8,1
User_1156,14,0
User_1157,7,9
User_1158,2,5
User_1159,9,7
User_1160,9,3
User_1161,11,5
User_1162,7,10
User_1163,2,1
User_1164,15,8
User_1165,12,5
User_1166,10,4
User_1167,3,2
User_1168,5,5
User_1169,6,8
User_1170,12,2
User_1171,3,0
User_1172,4,2
User_1173,5,4
User_1174,15,3
User_1175,6,8
User_1176,0,4
User_1177,6,8
User_1178,15,5
User_1179,8,7
User_1180,5,2
User_1181,11,0
User_1182,5,2
User_1183,13,4
User_1184,10,0
User_1185,10,4
User_1186,14,2
User_1187,5,9
User_1188,7,6
User_1189,8,3
User_1190,10,3
User_1191,1,10
User_1192,8,7
User_1193,1,4
User_1194,13,1
User_1195,3,10
User_1196,10,5
User_1197,3,10
User_1198,8,2
User_1199,10,9
User_1200,1,2
User_1201,13,5
User_1202,9,1
User_1203,7,0
User_1204,3,7
User_1205,7,4
User_1206,10,4
User_1207,6,10
User_1208,11,7
User_1209,15,4
User_1210,1,0
User_1211,14,3
User_1212,3,10
User_1213,12,2
User_1214,5,9
User_1215,13,8
User_1216,11,0
User_1217,7,8
User_1218,8,2
User_1219,14,6
User_1220,15,8
User_1221,0,8
User_1222,12,3
User_1223,2,6
User_1224,6,6
User_1225,4,0
User_1226,1,7
User_1227,2,8
User_1228,11,2
User_1229,11,10
User_1230,2,7
User_1231,0,6
User_1232,9,4
User_1233,10,7
User_1234,0,3
User_1235,15,1
User_1236,10,5
User_1237,15,9
User_1238,1,0
User_1239,0,0
User_1240,8,7
User_1241,4,8
User_1242,14,10
User_1243,15,6
User_1244,15,7
User_1245,7,7
User_1246,13,0
User_1247,6,6
User_1248,6,0
User_1249,9,3
User_1250,11,10
User_1251,4,8
User_1252,15,6
User_1253,14,10
User_1254,4,3
User_1255,9,6
User_1256,10,2
User_1257,11,5
User_1258,0,5
User_1259,1,5
User_1260,6,5
User_1261,10,10
User_1262,10,6
User_1263,10,1
User_1264,14,10
User_1265,15,0
User_1266,14,4
User_1267,7,4
User_1268,7,0
User_1269,8,4
User_1270,15,8
User_1271,9,3
User_1272,5,2
User_1273,5,3
User_1274,3,2
User_1275,7,6
User_1276,1,10
User_1277,10,5
User_1278,4,9
User_1279,7,9
User_1280,15,3
User_1281,14,7
User_1282,12,0
User_1283,8,2
User_1284,6,8
User_1285,14,10
User_1286,9,8
User_1287,2,2
User_1288,3,10
User_1289,10,3
User_1290,14,1
User_1291,5,4
User_1292,12,0
User_1293,15,10
User_1294,3,3
User_1295,3,8
User_1296,1,9
User_1297,1,2
User_1298,15,1
User_1299,4,4
User_1300,13,6
User_1301,9,0
User_1302,4,1
User_1303,11,6
User_1304,1,8
User_1305,5,3
User_1306,14,2
User_1307,13,7
User_1308,1,0
User_1309,13,1
User_1310,8,0
User_1311,2,0
User_1312,15,5
User_1313,2,2
User_1314,4,2
User_1315,10,1
User_1316,11,0
User_1317,3,1
User_1318,12,3
User_1319,0,1
User_1320,11,6
User_1321,5,3
User_1322,15,5
User_1323,3,1
User_1324,5,7
User_1325,4,5
User_1326,8,2
User_1327,5,7
User_1328,13,0
User_1329,11,1
User_1330,15,1
User_1331,6,1
User_1332,0,8
User_1333,4,0
User_1334,13,1
User_1335,13,0
User_1336,7,6
User_1337,15,5
User_1338,11,2
User_1339,9,9
User_1340,14,10
User_1341,9,3
User_1342,7,8
User_1343,11,4
User_1344,5,4
User_1345,0,0
User_1346,3,3
User_1347,10,10
User_1348,0,5
User_1349,12,8
User_1350,14,9
User_1351,8,2
User_1352,12,6
User_1353,0,10
User_1354,7,9
User_1355,13,9
User_1356,1,10
User_1357,8,9
User_1358,4,10
User_1359,0,5
User_1360,6,10
User_1361,10,0
User_1362,13,2
User_1363,5,10
User_1364,3,4
User_1365,5,0
User_1366,2,1
User_1367,9,9
User_1368,1,8
User_1369,0,0
User_1370,6,2
User_1371,15,7
User_1372,8,10
User_1373,6,1
User_1374,10,1
User_1375,13,4
User_1376,4,0
User_1377,7,1
User_1378,14,6
User_1379,8,5
User_1380,11,10
User_1381,0,3
User_1382,8,9
User_1383,5,0
User_1384,0,9
User_1385,1,9
User_1386,7,1
User_1387,12,4
User_1388,11,3
User_1389,7,9
User_1390,4,5
User_1391,10,3
User_1392,11,5
User_1393,9,4
User_1394,0,0
User_1395,1,6
User_1396,1,0
User_1397,4,10
User_1398,11,5
User_1399,1,8
User_1400,10,1
User_1401,2,10
User_1402,4,1
User_1403,2,3
User_1404,4,10
User_1405,11,6
User_1406,7,10
User_1407,9,1
User_1408,0,0
User_1409,15,5
User_1410,3,5
User_1411,13,3
User_1412,3,6
User_1413,11,2
User_1414,8,9
User_1415,1,10
User_1416,1,10
User_1417,15,1
User_1418,0,5
User_1419,9,9
User_1420,9,3
User_1421,1,9
User_1422,6,4
User_1423,11,6
User_1424,11,2
User_1425,12,3
User_1426,10,10
User_1427,6,4
User_1428,6,1
User_1429,0,5
User_1430,8,5
User_1431,9,1
User_1432,0,0
User_1433,6,0
User_1434,12,5
User_1435,5,7
User_1436,8,1
User_1437,0,1
User_1438,15,10
User_1439,5,6
User_1440,4,9
User_1441,8,0
User_1442,13,1
User_1443,7,2
User_1444,2,7
User_1445,9,9
User_1446,0,4
User_1447,5,0
User_1448,13,7
User_1449,7,4
User_1450,8,2
User_1451,14,8
User_1452,13,1
User_1453,10,4
User_1454,4,0
User_1455,8,3
User_1456,5,4
User_1457,8,7
User_1458,6,10
User_1459,2,8
User_1460,11,4
User_1461,15,0
User_1462,15,0
User_1463,13,8
User_1464,13,4
User_1465,4,9
User_1466,15,5
User_1467,5,5
User_1468,4,5
User_1469,7,3
User_1470,15,1
User_1471,9,2
User_1472,3,0
User_1473,1,10
User_1474,0,1
User_1475,3,9
User_1476,4,5
User_1477,10,4
User_1478,14,0
User_1479,1,9
User_1480,1,3
User_1481,1,6
User_1482,8,10
User_1483,15,8
User_1484,6,3
User_1485,6,1
User_1486,3,1
User_1487,0,7
User_1488,12,5
User_1489,12,7
User_1490,2,8
User_1491,8,6
User_1492,0,5
User_1493,4,10
User_1494,9,4
User_1495,13,5
User_1496,0,2
User_1497,5,8
User_1498,12,2
User_1499,0,1
User_1500,9,5
User_1501,6,0
User_1502,12,7
User_1503,12,9
User_1504,11,6
User_1505,2,8
User_1506,3,9
User_1507,2,8
User_1508,5,10
User_1509,10,2
User_1510,10,5
User_1511,3,9
User_1512,1,8
User_1513,0,0
User_1514,15,5
User_1515,2,0
User_1516,13,2
User_1517,4,7
User_1518,0,6
User_1519,6,3
User_1520,5,10
User_1521,3,2
User_1522,1,0
User_1523,12,8
User_1524,11,5
User_1525,3,9
User_1526,1,9
User_1527,10,8
User_1528,8,9
User_1529,15,4
User_1530,14,1
User_1531,9,6
User_1532,14,6
User_1533,3,1
User_1534,10,0
User_1535,5,9
User_1536,9,8
User_1537,14,7
User_1538,4,4
User_1539,10,1
User_1540,9,4
User_1541,4,3
User_1542,0,0
User_1543,10,4
User_1544,9,4
User_1545,10,3
User_1546,5,0
User_1547,2,3
User_1548,7,5
User_1549,5,6
User_1550,1,4
User_1551,9,3
User_1552,3,4
User_1553,12,8
User_1554,4,1
User_1555,0,6
User_1556,7,8
User_1557,9,3
User_1558,7,9
User_1559,4,4
User_1560,4,4
User_1561,8,9
User_1562,4,3
User_1563,6,9
User_1564,11,9
User_1565,15,3
User_1566,5,3
User_1567,8,10
User_1568,13,7
User_1569,12,4
User_1570,15,9
User_1571,7,1
User_1572,10,3
User_1573,2,10
User_1574,12,10
User_1575,2,0
User_1576,12,4
User_1577,15,1
User_1578,15,3
User_1579,15,8
User_1580,2,7
User_1581,14,6
User_1582,10,4
User_1583,5,5
User_1584,8,2
User_1585,0,6
User_1586,8,2
User_1587,1,5
User_1588,8,2
User_1589,12,1
User_1590,4,1
User_1591,0,4
User_1592,2,5
User_1593,0,0
User_1594,5,8
User_1595,8,4
User_1596,14,10
User_1597,10,0
User_1598,10,1
User_1599,10,0
User_1600,7,8
User_1601,14,0
User_1602,1,6
User_1603,0,9
User_1604,13,5
User_1605,7,0
User_1606,11,3
User_1607,3,6
User_1608,4,2
User_1609,7,8
User_1610,9,10
User_1611,2,10
User_1612,5,0
User_1613,10,8
User_1614,3,8
User_1615,8,8
User_1616,13,8
User_1617,5,6
User_1618,10,8
User_1619,14,4
User_1620,10,1
User_1621,9,4
User_1622,14,4
User_1623,0,8
User_1624,12,10
User_1625,6,1
User_1626,8,9
User_1627,5,10
User_1628,5,3
User_1629,14,10
User_1630,6,4
User_1631,14,10
User_1632,9,1
User_1633,6,3
User_1634,8,10
User_1635,12,4
User_1636,0,10
User_1637,15,0
User_1638,15,3
User_1639,10,1
User_1640,9,4
User_1641,11,3
User_1642,13,2
User_1643,13,2
User_1644,8,7
User_1645,11,5
User_1646,14,4
User_1647,7,1
User_1648,6,5
User_1649,7,6
User_1650,8,8
User_1651,13,0
User_1652,2,8
User_1653,1,4
User_1654,10,1
User_1655,5,4
User_1656,9,0
User_1657,5,0
User_1658,0,9
User_1659,12,2
User_1660,12,0
User_1661,4,10
User_1662,11,4
User_1663,10,0
